ID_Producto,NombreProducto,Categoria,PrecioUnitario,EstadoDeRotacion
62,Enjuague Bucal,Higiene,9.69,Baja
63,Acetaminofén Gotas,Medicamento,10.18,Media
64,Test de Embarazo,Cuidado Personal,14.82,Media
65,Vendas Elásticas,Higiene,3.91,Baja
66,Tiras Reactivas Glucosa,Cuidado Personal,3.01,Baja
67,Paracetamol 500mg,Medicamento,22.55,Alta
68,Tiras Reactivas Glucosa,Cuidado Personal,9.08,Baja
69,Repelente de Insectos,Cuidado Personal,14.18,Media
70,Ácido Fólico,Suplemento,22.68,Alta
71,Gel Antibacterial,Higiene,9.89,Baja
72,Vendas Elásticas,Higiene,8.84,Baja
73,Acetaminofén Gotas,Medicamento,5.23,Baja
74,Jarabe para la tos,Medicamento,19.23,Media
75,Hierro Ferroso,Suplemento,23.35,Alta
76,Pasta Dental Fluorada,Higiene,5.40,Baja
77,Colirio,Medicamento,12.19,Media
78,Crema Antifúngica,Medicamento,14.89,Media
79,Mascarillas KN95,Higiene,8.88,Baja
80,Enjuague Bucal,Higiene,3.64,Baja
81,Algodón Hidrofílico,Higiene,6.36,Baja
82,Multivitamínico Infantil,Suplemento,15.30,Media
83,Ácido Fólico,Suplemento,28.78,Alta
84,Gel Antibacterial,Higiene,4.77,Baja
85,Protector Solar SPF 50,Cuidado Personal,7.69,Baja
86,Hierro Ferroso,Suplemento,21.90,Alta
87,Omeprazol 20mg,Medicamento,17.93,Media
88,Algodón Hidrofílico,Higiene,4.07,Baja
89,Loratadina 10mg,Medicamento,10.19,Media
90,Amoxicilina 500mg,Medicamento,14.48,Media
91,Colirio,Medicamento,19.49,Media
92,Ácido Fólico,Suplemento,16.77,Media
93,Loratadina 10mg,Medicamento,13.33,Media
94,Ibuprofeno 400mg,Medicamento,20.62,Alta
95,Ibuprofeno 400mg,Medicamento,23.63,Alta
96,Test de Embarazo,Cuidado Personal,6.88,Baja
97,Inhalador Salbutamol,Medicamento,13.48,Media
98,Hierro Ferroso,Suplemento,23.38,Alta
99,Inhalador Salbutamol,Medicamento,13.16,Media
100,Multivitamínico Infantil,Suplemento,21.63,Alta
101,Jarabe para la tos,Medicamento,15.97,Media
102,Suero Oral,Medicamento,21.28,Alta
103,Acetaminofén Gotas,Medicamento,6.63,Baja
104,Termómetro Digital,Cuidado Personal,8.21,Baja
105,Crema Antifúngica,Medicamento,22.33,Alta
106,Pasta Dental Fluorada,Higiene,3.86,Baja
107,Amoxicilina 500mg,Medicamento,10.99,Media
108,Gel Antibacterial,Higiene,6.81,Baja
109,Ácido Fólico,Suplemento,23.40,Alta
110,Tiras Reactivas Glucosa,Cuidado Personal,4.67,Baja
111,Termómetro Digital,Cuidado Personal,6.08,Baja
112,Omeprazol 20mg,Medicamento,14.84,Media
113,Ácido Fólico,Suplemento,23.40,Alta
114,Vendas Elásticas,Higiene,3.32,Baja
115,Enjuague Bucal,Higiene,1.11,Baja
116,Vitamina C 1000mg,Suplemento,15.13,Media
117,Alcohol Etílico 70%,Higiene,9.27,Baja
118,Vitamina C 1000mg,Suplemento,19.93,Media
119,Alcohol Etílico 70%,Higiene,5.42,Baja
120,Pastillas para la garganta,Medicamento,21.46,Alta
121,Repelente de Insectos,Cuidado Personal,7.42,Baja
122,Paracetamol 500mg,Medicamento,5.78,Baja
123,Amoxicilina 500mg,Medicamento,15.30,Media
124,Suero Oral,Medicamento,8.61,Baja
125,Protector Solar SPF 50,Cuidado Personal,5.80,Baja
126,Algodón Hidrofílico,Higiene,5.15,Baja
127,Loratadina 10mg,Medicamento,11.10,Media
128,Jarabe para la tos,Medicamento,21.61,Alta
129,Gel Antibacterial,Higiene,9.20,Baja
130,Enjuague Bucal,Higiene,7.13,Baja
131,Algodón Hidrofílico,Higiene,9.13,Baja
132,Protector Solar SPF 50,Cuidado Personal,7.56,Baja
133,Ibuprofeno 400mg,Medicamento,16.19,Media
134,Suero Oral,Medicamento,11.04,Media
135,Loratadina 10mg,Medicamento,7.98,Baja
136,Pasta Dental Fluorada,Higiene,8.02,Baja
137,Tiras Reactivas Glucosa,Cuidado Personal,13.21,Media
138,Vendas Elásticas,Higiene,4.18,Baja
139,Guantes de Látex,Higiene,8.69,Baja
140,Jarabe para la tos,Medicamento,6.46,Baja
141,Paracetamol 500mg,Medicamento,21.50,Alta
142,Pastillas para la garganta,Medicamento,24.92,Alta
143,Multivitamínico Infantil,Suplemento,15.00,Media
144,Paracetamol 500mg,Medicamento,12.77,Media
145,Repelente de Insectos,Cuidado Personal,10.09,Media
146,Pasta Dental Fluorada,Higiene,6.02,Baja
147,Amoxicilina 500mg,Medicamento,5.69,Baja
148,Colirio,Medicamento,10.05,Media
149,Amoxicilina 500mg,Medicamento,7.56,Baja
150,Inhalador Salbutamol,Medicamento,8.88,Baja
